"","Estimate","Std. Error","t value","Pr(>|t|)","Fit_Estimate_Standard_Errors_From_0"
"G1_G1",0.00244461210826643,0.00193302402283398,1.26465686892107,0.205997146431204,1.26465686892107
"G1_G2",0.0263951245992111,0.00232623032737372,11.3467373753186,8.01065670582475e-30,11.3467373753186
"G1_G3",0.0332837047622139,0.0031686237941701,10.504151620477,8.51205070833487e-26,10.504151620477
"G1_G4",-0.00459575587581698,0.00258865407682609,-1.77534569680773,0.0758437018163227,1.77534569680773
"G1_G5",0.0106331919149619,0.00180822944109066,5.88044397095335,4.1039263446028e-09,5.88044397095335
"G1_G6",-0.0023862944014454,0.00312833672782701,-0.762799726838534,0.44558454667114,0.762799726838534
"G1_G7",0.00112741839045033,0.00341249605458117,0.330379397490233,0.741113961734018,0.330379397490233
"G2_G2",-0.0382508235616404,0.00734519616694134,-5.20759727749635,1.91658848855338e-07,5.20759727749635
"G2_G3",0.0133701201485434,0.0057916836821047,2.3085031715138,0.020973086873085,2.3085031715138
"G2_G4",0.0094636379625261,0.00470387802602915,2.01187996588317,0.0442351247959914,2.01187996588317
"G2_G5",0.0160131451905196,0.00323267116952957,4.95353357973922,7.29899764405379e-07,4.95353357973922
"G2_G6",-0.0196940261748694,0.00548653783068269,-3.58951797702612,0.000331439835613761,3.58951797702612
"G2_G7",0.00169616953392213,0.00625371713902616,0.271225815977066,0.786217888362293,0.271225815977066
"G3_G3",0.0412286546405511,0.0159312360112083,2.58791311681938,0.00965725418620051,2.58791311681938
"G3_G4",0.00879798778616476,0.00668899855081521,1.31529222488657,0.188414563878991,1.31529222488657
"G3_G5",-0.0041194515920371,0.00446670334622683,-0.922257708364926,0.356396273589483,0.922257708364926
"G3_G6",-0.0079416853780798,0.00791925857893405,-1.00283193166661,0.315944255436105,1.00283193166661
"G3_G7",0.000255023917951077,0.00869449979985462,0.0293316376814847,0.976600149918046,0.0293316376814847
"G4_G4",-0.00935994001139183,0.00950070513124567,-0.98518371869148,0.324536091982431,0.98518371869148
"G4_G5",0.0149735007324626,0.00362253104191462,4.13343614152955,3.57654807761288e-05,4.13343614152955
"G4_G6",-0.0330269972935183,0.00637476300383103,-5.18089806219778,2.21224457758249e-07,5.18089806219778
"G4_G7",0.00920205012153215,0.00700815680606385,1.31304854845286,0.189169440621477,1.31304854845286
"G5_G5",0.00637083450537142,0.00403570860693833,1.57861608105661,0.114427136830358,1.57861608105661
"G5_G6",-0.00940953015304665,0.00433032589526899,-2.17293810688171,0.029787189846706,2.17293810688171
"G5_G7",0.010392211991798,0.00479779263464735,2.16604025708624,0.0303103392705735,2.16604025708624
"G6_G6",-0.0144471873013178,0.0123833856150228,-1.1666589211105,0.24335077095144,1.1666589211105
"G6_G7",0.00379178257380287,0.00847933384416707,0.447179300106368,0.654746522431593,0.447179300106368
"G7_G7",0.0183906217462787,0.0153225729686679,1.20023065211597,0.2300524644538,1.20023065211597
